review_id,app_name,category,wtp_signal_text,wtp_classification,associated_feature,market_region
63fa1298-3754-48eb-ac2d-66c07f09881f,Astrotalk,astrology,scam,negative_wtp,,india
e9e6e2f1-31fb-401a-b25c-3fa79ee2aec1,Astrotalk,astrology,scam,negative_wtp,,india
e9e6e2f1-31fb-401a-b25c-3fa79ee2aec1,Astrotalk,astrology,scam,negative_wtp,,india
4f603740-bebe-406e-8b24-574da0b85126,Astrotalk,astrology,scam,negative_wtp,,india
059c23a1-4481-45e6-a680-0b35afe5f314,Astrotalk,astrology,SCAM,negative_wtp,,india
510e4b23-956b-47cf-bf87-26fad25f9c9e,Astrotalk,astrology,loot,negative_wtp,,india
34f475e4-68ef-42fa-bfc1-454f36e58451,Astrotalk,astrology,scam,negative_wtp,,india
3da81728-0782-480a-b286-5e0669bc5a7e,Astrotalk,astrology,Scam,negative_wtp,,india
e81e32c2-c46d-46d1-8c25-29e0c71ef54f,Astrotalk,astrology,scam,negative_wtp,,india
d61ae4a4-3740-4140-b3c4-035954889c64,Astrotalk,astrology,worth the money,positive_wtp,,india
7f998aa7-ba4b-4cb9-ab0f-be4c12d47f3f,Astrotalk,astrology,waste of money,negative_wtp,,india
b11eb76f-ebc1-4b47-8fd4-82719689b6c5,Astrotalk,astrology,loot,negative_wtp,,india
16c7dd06-5453-43ed-82c5-54214264159e,Astrotalk,astrology,loot,negative_wtp,,india
28a4870f-2ed3-46bc-bdca-65ec93c4ec8c,Astrotalk,astrology,scam,negative_wtp,,india
d9c5e204-65c5-4076-bc8b-9aacceaa0085,Astrotalk,astrology,loot,negative_wtp,,india
76c2a0c4-cf53-4578-a77a-3a1a8e45c19f,Astrotalk,astrology,waste of money,negative_wtp,,india
4ff99856-f631-4592-a9e1-5d8965324c79,Astrotalk,astrology,scam,negative_wtp,,india
df238bce-8ec2-4981-95f3-a8fe5c0301e1,Astrotalk,astrology,loot,negative_wtp,,india
b54dc9f1-fba9-40b9-a16f-a45b56c783f6,Astrotalk,astrology,scam,negative_wtp,,india
7819ad16-88c7-4de7-b188-3dd6b5424802,Astrotalk,astrology,not worth,negative_wtp,,india
9ee96114-9437-42a2-9003-8949e8eb1f1d,Astrotalk,astrology,scam,negative_wtp,,india
9fe636bd-12ba-447b-af9e-59ebc5bf8de3,Astrotalk,astrology,waste of money,negative_wtp,,india
7387df19-e830-4d76-bb95-1b8d9e8d988c,Astrotalk,astrology,waste of money,negative_wtp,,india
a2055feb-2e6f-4bc0-9584-677610dcafb2,Astrotalk,astrology,scam,negative_wtp,,india
497e2b05-4f0d-4585-933f-4d34da85855e,Astrotalk,astrology,Waste of money,negative_wtp,,india
45cdb1e4-cabd-4839-a002-f0cc10cbe0c5,Astrotalk,astrology,waste of money,negative_wtp,,india
15203d1b-134b-4822-afcd-1b4bd0bb4ea2,Astrotalk,astrology,waste of money,negative_wtp,,india
58d9e4b7-7de4-4869-a3d5-d9ad0f7added,Astrotalk,astrology,loot,negative_wtp,remedies,india
93171e79-29be-43e5-9b3c-ae8d33fe6535,Astrotalk,astrology,scam,negative_wtp,,india
a4d51716-5bc2-4a77-9a5c-e688e2fdeef9,Astrotalk,astrology,loot,negative_wtp,,india
7ae0243a-d88b-4cd0-b29f-aa02640c38f5,Astrotalk,astrology,loot,negative_wtp,,india
fa5bfb32-9b80-4033-bdd6-198a48c4d1dd,Astrotalk,astrology,scam,negative_wtp,,india
ebee4a27-af6e-4b8c-83c5-2a3d79496279,Astrotalk,astrology,scam,negative_wtp,,india
0b5920b4-daac-4bcd-885b-3f13b8f1ca7e,Astrotalk,astrology,loot,negative_wtp,,india
cfa98355-37b7-45bb-ac21-8dc7b20f0d51,Astrotalk,astrology,scam,negative_wtp,,india
8c557436-bb89-4fa1-bb47-bcd9eac411c8,Astrotalk,astrology,scam,negative_wtp,,india
70e13cd1-d826-4fde-badf-49495e3f6f94,Astrotalk,astrology,scam,negative_wtp,,india
cffa44b7-1091-4c02-b1a2-02487a2d418b,Astrotalk,astrology,scam,negative_wtp,,india
d0c7577e-b086-4e87-8e23-40a63542539c,Astrotalk,astrology,scam,negative_wtp,,india
7a08fe24-915d-476c-926e-f9936142274d,Astrotalk,astrology,waste of money,negative_wtp,,india
c92f732e-ca74-456d-80bc-cd417a021263,Astrotalk,astrology,scam,negative_wtp,,india
2331b49d-9aee-4659-8c06-a738e9ae4af0,Astrotalk,astrology,waste of money,negative_wtp,,india
e4717d54-c40c-4234-b6d4-8ccda21576bd,Astrotalk,astrology,waste of money,negative_wtp,,india
7ff324aa-39dc-44e6-ab56-ef7a64bd72ce,Astrotalk,astrology,WASTE OF MONEY,negative_wtp,,india
24eefb8f-664d-4c3e-bb8c-3b3b39080e1f,Astrotalk,astrology,scam,negative_wtp,,india
3ece7ddc-a921-4161-a05d-5303dc2dfb10,Astrotalk,astrology,scam,negative_wtp,,india
7bf12727-4e26-45f9-93ee-21ea5f9e4815,Astrotalk,astrology,loot,negative_wtp,,india
e7a05834-ae73-43a6-844d-f592371f20ab,Astrotalk,astrology,scam,negative_wtp,,india
5a10ca4d-e799-4306-b03e-59e48382cd89,Astrotalk,astrology,scam,negative_wtp,,india
452c16f1-a969-43e3-b050-bdc36b4803d4,Astrotalk,astrology,scam,negative_wtp,,india
0ac5a664-bbc2-492e-90d3-f5d8a70c2817,Astrotalk,astrology,scam,negative_wtp,,india
e884fea8-2f4e-4bf4-894a-4111fa2028c8,Astrotalk,astrology,loot,negative_wtp,,india
2465eb98-c405-4522-a6c3-60b97d588d5d,Astrotalk,astrology,waste of money,negative_wtp,,india
38928951-37f7-42aa-a431-0bf48335b291,Astrotalk,astrology,not worth,negative_wtp,,india
6891a88f-fb87-4d98-b511-5d186d3ce0fc,Astrotalk,astrology,waste of money,negative_wtp,,india
ac52c9a8-c603-496e-9221-0c4ddee1bda3,Astrotalk,astrology,scam,negative_wtp,,india
981ccbae-cae9-4740-8e81-8ffb83929458,Astrotalk,astrology,loot,negative_wtp,,india
c946ece9-c941-4cc2-ae64-fecc8506e1d2,Astrotalk,astrology,too expensive,negative_wtp,,india
f55ae3d7-8eb1-4fcc-98a2-3ae22c3cf771,Astrotalk,astrology,scam,negative_wtp,,india
94ed6237-7dff-43e6-af99-8555dc672675,Astrotalk,astrology,scam,negative_wtp,,india
94ed6237-7dff-43e6-af99-8555dc672675,Astrotalk,astrology,scam,negative_wtp,,india
c9139646-233d-4b0f-bd21-bd5836ac52c6,Astrotalk,astrology,waste of money,negative_wtp,,india
04776cdd-1b2e-45f5-98a0-cc215e5e380b,Astrotalk,astrology,scam,negative_wtp,,india
76eb3477-0cb0-4bec-aa4f-d22c0daae208,Astrotalk,astrology,scam,negative_wtp,,india
fe410d18-c3aa-44db-ae8e-f532186c74e2,Astrotalk,astrology,scam,negative_wtp,,india
